kanji,english,explanation,primitive
頂,place on the head,"The key word is actually a formal metaphor meaning ""humble acceptance."" Reading off the two primitive elements in the order of their writing, we have: _nail_ . . . _head_. As in  ""hitting the _nail_ on the _head_. "" Now one presumes that most people can handle metaphors, but if you were to run into a dimwit working in a hardware store who only knew the literal meaning of things, and were to ask him, in your best Japanese, to **place on your head** a nail, he might miss the point and cause you considerable torment.",
子,child,"This kanji is a pictograph of a **child** wrapped up in one of those handy cocoons that Japanese mothers fix to their backs to carry around young **children** who cannot get around by themselves. The first stroke is like a wee head popping out for air, the second shows the body and legs all wrapped up, and the final stroke shows the arms sticking out to cling to the mother's neck.","* As a primitive, the meaning of _child_ is retained, though you might imagine a little older _child_ , able to run around and get into more mischief."
孔,cavity,"Probably the one thing most _children_ fear more than anything else is the dentist's chair. Once a _child_ has seen a dentist holding the x-rays up to the light and heard that ominous word **cavity** , even though it is not likely to know that the word means ""hole"" until it is much older, it will not be long before those two syllables get associated with the drill and that row of shiny _hooks_ the dentist uses to torture people who are too small to fight back.",
了,complete,"Learn this character by returning to frame 99 and the image given there. The only difference is that the ""arms"" have been left off (actually, only tucked inside). Thus a _child_ with its arms wrapped up into the back-sack is the picture of a job successfully **completed**.",
女,woman,"You have probably seen somewhere the form of a squatting **woman** drawn behind this character, with two legs at the bottom, two arms (the horizontal line) and the head poking out the top. A little farfetched, until you draw the character and feel the grace and flow of the three simple strokes. Remembering the kanji is easy, being able to write it beautifully is another thing.",* The primitive meaning is the same: _woman_.
好,fond,"The phrase ""to be **fond** of someone "" has a natural gentleness about it, and lends a tenderness to the sense of touching by giving us the related term ""to **fondle**. "" The character likens it to a _woman_ **fondling** her _child_.",
如,likeness,"Pardon me if I revert to the venerable old Dr. Freud again, but his eye for symbolism is often helpful to appreciate things that more earthy imaginations once accepted more freely but that we have learned to cover over with a veneer of etiquette. For instance, the fact that things like the _mouth_ of a cave served as natural ritual substitutes for the opening through which a _woman_ gives birth. Hence, in order to be reborn as an adult, one may have to pass through the psychological equivalent of the womb, that is, something that bears a **likeness** to the _opening_ of the _woman_ from whom you were born.",
母,mama,"Look closely at this kanji and you will find the outline of the kanji for _woman_ in it, the second stroke of which has been expanded to make space for the two breasts that make her a **mama**. Likening this sound to a baby nursing at its mother's breast has afforded some scholars of comparative linguistics a way to explain the presence of the same word across a wide range of language groups.","* As a primitive we shall add the meaning of _breasts_ in accord with the explanation given above. Take careful note of the fact that the form is altered slightly when this kanji serves as a primitive, the final two dots joining together to form a longer stroke. An example follows in the next frame."
貫,pierce,"If one is asked to think of associations for the word **pierce** , among the first to come to mind is that of **piercing** one's ears to hold earrings, a quite primitive form of self-mutilation that has survived into the 21st century. The kanji here is read, top to bottom: _mama_ . . . _oyster_. All you need to do is imagine **piercing** an ear so that it can hold a mother-of- pearl (actually, a _mama_ -of-pearl) you have just wrested from an _oyster_.",
兄,elder brother,"By now kanji like this one should ""look like"" something to you even though it is more of an ""ideogram"" than a ""pictograph."" The large _mouth_ on top and the _human legs_ below almost jump off the page as a caricature of **elder brother** , the one with the big _mouth_ (or if you prefer a kinder image, the one who  ""has the say"" among all the children).","* As a primitive this character will take the meaning of _teenager_ , in accord with the familiar image of the big _mouth_ and the gangling, clumsy _legs_."
